Datetime,Close,High,Low,Open,Volume,Ticker,ticker,sentiment_score
2025-06-13 13:30:00+00:00,198.89999389648438,200.3699951171875,198.64500427246094,199.50999450683594,4848028,AAPL,AAPL,0.0
2025-06-13 13:35:00+00:00,198.27000427246094,199.24000549316406,197.80999755859375,198.88999938964844,1210436,AAPL,AAPL,0.0
2025-06-13 13:40:00+00:00,197.5,198.2899932861328,197.27000427246094,198.2698974609375,1258742,AAPL,AAPL,0.0
2025-06-13 13:45:00+00:00,197.38499450683594,197.60000610351562,196.89999389648438,197.52999877929688,1163972,AAPL,AAPL,0.0
2025-06-13 13:50:00+00:00,196.94039916992188,197.66000366210938,196.89999389648438,197.3800048828125,862739,AAPL,AAPL,0.0
2025-06-13 13:55:00+00:00,196.89999389648438,197.16000366210938,196.75999450683594,196.9499969482422,795916,AAPL,AAPL,0.0
2025-06-13 14:00:00+00:00,196.85000610351562,197.3972930908203,196.5800018310547,196.9499969482422,904076,AAPL,AAPL,0.0
2025-06-13 14:05:00+00:00,196.49000549316406,196.98129272460938,196.46200561523438,196.85000610351562,663504,AAPL,AAPL,0.0
2025-06-13 14:10:00+00:00,196.23980712890625,196.39920043945312,195.91000366210938,196.3820037841797,1112701,AAPL,AAPL,0.0
2025-06-13 14:15:00+00:00,196.36000061035156,196.37930297851562,196.0,196.22999572753906,772112,AAPL,AAPL,1.0
2025-06-13 14:20:00+00:00,196.09060668945312,196.3699951171875,196.0500030517578,196.36990356445312,640270,AAPL,AAPL,0.0
2025-06-13 14:25:00+00:00,196.15499877929688,196.52999877929688,196.00999450683594,196.0800018310547,605822,AAPL,AAPL,0.0
2025-06-13 14:30:00+00:00,196.29629516601562,196.52999877929688,195.97999572753906,196.13999938964844,736919,AAPL,AAPL,1.0
2025-06-13 14:35:00+00:00,196.72999572753906,196.82000732421875,196.16000366210938,196.3000030517578,699430,AAPL,AAPL,0.0
2025-06-13 14:40:00+00:00,196.64999389648438,197.1699981689453,196.64500427246094,196.72999572753906,616130,AAPL,AAPL,0.0
2025-06-13 14:45:00+00:00,196.61500549316406,197.02000427246094,196.5800018310547,196.66000366210938,472746,AAPL,AAPL,0.0
2025-06-13 14:50:00+00:00,197.03500366210938,197.07000732421875,196.39999389648438,196.60000610351562,484819,AAPL,AAPL,0.0
2025-06-13 14:55:00+00:00,197.11000061035156,197.19979858398438,196.9499969482422,197.02000427246094,458025,AAPL,AAPL,0.0
2025-06-13 15:00:00+00:00,197.072998046875,197.25,196.97999572753906,197.11000061035156,416093,AAPL,AAPL,0.0
2025-06-13 15:05:00+00:00,197.2899932861328,197.4409942626953,197.0500030517578,197.07000732421875,451817,AAPL,AAPL,0.0
2025-06-13 15:10:00+00:00,197.24000549316406,197.3925018310547,197.16000366210938,197.29010009765625,443992,AAPL,AAPL,0.0
2025-06-13 15:15:00+00:00,197.3419952392578,197.38999938964844,197.1092071533203,197.2375030517578,324021,AAPL,AAPL,0.0
2025-06-13 15:20:00+00:00,197.44000244140625,197.61000061035156,197.2100067138672,197.30999755859375,420723,AAPL,AAPL,1.0
2025-06-13 15:25:00+00:00,197.50999450683594,197.63999938964844,197.35000610351562,197.4199981689453,345355,AAPL,AAPL,0.0
2025-06-13 15:30:00+00:00,197.3701934814453,197.56300354003906,197.33999633789062,197.52000427246094,349005,AAPL,AAPL,0.0
2025-06-13 15:35:00+00:00,197.47999572753906,197.57000732421875,197.2100067138672,197.38999938964844,339610,AAPL,AAPL,0.0
2025-06-13 15:40:00+00:00,197.6699981689453,197.6988067626953,197.3928985595703,197.49000549316406,279461,AAPL,AAPL,0.0
2025-06-13 15:45:00+00:00,197.75079345703125,197.875,197.58999633789062,197.6707000732422,364007,AAPL,AAPL,0.0
2025-06-13 15:50:00+00:00,197.84120178222656,197.8800048828125,197.63499450683594,197.75999450683594,301466,AAPL,AAPL,0.0
2025-06-13 15:55:00+00:00,197.6887969970703,197.82000732421875,197.60000610351562,197.8000030517578,341273,AAPL,AAPL,0.0
2025-06-13 16:00:00+00:00,197.5399932861328,197.72999572753906,197.42999267578125,197.67999267578125,361937,AAPL,AAPL,0.0
2025-06-13 16:05:00+00:00,197.97000122070312,198.0050048828125,197.50999450683594,197.5399932861328,375418,AAPL,AAPL,0.0
2025-06-13 16:10:00+00:00,197.9149932861328,198.02999877929688,197.91000366210938,197.97000122070312,309591,AAPL,AAPL,0.0
2025-06-13 16:15:00+00:00,197.97999572753906,198.04750061035156,197.86000061035156,197.91000366210938,329256,AAPL,AAPL,0.0
2025-06-13 16:20:00+00:00,197.89999389648438,198.02000427246094,197.86000061035156,197.9788055419922,234618,AAPL,AAPL,0.0
2025-06-13 16:25:00+00:00,197.27000427246094,197.95860290527344,197.22000122070312,197.88999938964844,492379,AAPL,AAPL,0.0
2025-06-13 16:30:00+00:00,197.39999389648438,197.42999267578125,197.0800018310547,197.2899932861328,465321,AAPL,AAPL,0.0
2025-06-13 16:35:00+00:00,197.15499877929688,197.47999572753906,197.15499877929688,197.41000366210938,360766,AAPL,AAPL,0.0
2025-06-13 16:40:00+00:00,197.17999267578125,197.36570739746094,197.1199951171875,197.14999389648438,289917,AAPL,AAPL,0.0
2025-06-13 16:45:00+00:00,197.15499877929688,197.3249969482422,197.13999938964844,197.17999267578125,221755,AAPL,AAPL,0.0
2025-06-13 16:50:00+00:00,197.3800048828125,197.52999877929688,197.13499450683594,197.1649932861328,321684,AAPL,AAPL,0.0
2025-06-13 16:55:00+00:00,197.4600067138672,197.57000732421875,197.33999633789062,197.35000610351562,247934,AAPL,AAPL,0.0
2025-06-13 17:00:00+00:00,197.32000732421875,197.47000122070312,197.2899932861328,197.42999267578125,250529,AAPL,AAPL,0.0
2025-06-13 17:05:00+00:00,197.32000732421875,197.39500427246094,197.27999877929688,197.3300018310547,163779,AAPL,AAPL,0.0
2025-06-13 17:10:00+00:00,197.27999877929688,197.41000366210938,196.97000122070312,197.3101043701172,491384,AAPL,AAPL,0.0
2025-06-13 17:15:00+00:00,197.0800018310547,197.26499938964844,196.9199981689453,197.25,236839,AAPL,AAPL,0.0
